-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        hipEventDestroy         0.17%       2.197ms         0.17%       2.197ms       0.808us       1.923ms         0.16%       1.923ms       0.707us          2720  
                                     hipStreamWaitEvent         3.16%      41.808ms         3.16%      41.810ms      15.934us       1.670ms         0.14%       1.670ms       0.636us          2624  
                                         hipGraphLaunch         7.32%      96.968ms         7.32%      96.969ms      73.909us       1.471ms         0.12%       1.471ms       1.121us          1312  
                                   hipStreamIsCapturing         0.13%       1.679ms         0.13%       1.681ms       1.142us       1.426ms         0.12%       1.426ms       0.969us          1472  
                                    hipDriverGetVersion         0.04%     528.941us         0.04%     528.941us       0.403us       1.422ms         0.12%       1.422ms       1.084us          1312  
                                         hipEventRecord         2.04%      27.032ms         2.04%      27.032ms       9.492us       1.372ms         0.12%       1.372ms       0.482us          2848  
                           Memcpy HtoD (Host -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.023ms         0.09%       1.023ms       3.997us           256  
Cijk_Alik_Bljk_SB_MT16x16x32_SE_AMAS3_BL1_DRB16_ALT_...         0.00%       0.000us         0.00%       0.000us       0.000us     897.745us         0.08%     897.745us      22.444us            40  
                   execute_context_1(4)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     701.536us         0.06%     701.536us     701.536us             1  
                            kernel_unified_attention_2d         0.00%       0.000us         0.00%       0.000us       0.000us     699.664us         0.06%     699.664us      17.492us            40  
                                         Cijk_B_PostGSU         0.00%       0.000us         0.00%       0.000us       0.000us     586.060us         0.05%     586.060us      18.314us            32  
                                             aten::div_         0.07%     948.089us         0.11%       1.454ms      22.722us     477.708us         0.04%     477.708us       7.464us            64  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     465.546us         0.04%     465.546us       7.274us            64  
void at::native::bitonicSortKVInPlace<2, -1, 16, 16,...         0.00%       0.000us         0.00%       0.000us       0.000us     411.485us         0.03%     411.485us      10.287us            40  
                                            aten::index         0.12%       1.529ms         0.34%       4.544ms     142.001us     403.337us         0.03%     649.229us      20.288us            32  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     403.337us         0.03%     403.337us      12.604us            32  
                           Memcpy DtoH (Device -> Host)         0.00%       0.000us         0.00%       0.000us       0.000us     401.900us         0.03%     401.900us      12.559us            32  
triton_red_fused__to_copy_add_dynamic_scaled_int8_qu...         0.00%       0.000us         0.00%       0.000us       0.000us     361.415us         0.03%     361.415us      11.294us            32  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2         0.00%       0.000us         0.00%       0.000us       0.000us     304.452us         0.03%     304.452us       9.514us            32  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     291.817us         0.02%     291.817us       9.119us            32  
                                     aten::exponential_         0.06%     750.579us         0.08%       1.087ms      33.958us     283.976us         0.02%     283.976us       8.874us            32  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     283.976us         0.02%     283.976us       8.874us            32  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     267.489us         0.02%     267.489us       8.359us            32  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     263.140us         0.02%     263.140us       4.112us            64  
triton_red_fused__to_copy_add_mean_moe_forward_share...         0.00%       0.000us         0.00%       0.000us       0.000us     262.692us         0.02%     262.692us       8.209us            32  
                             triton_red_fused_div_sum_3         0.00%       0.000us         0.00%       0.000us       0.000us     238.525us         0.02%     238.525us       5.963us            40  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     235.814us         0.02%     235.814us       7.369us            32  
triton_red_fused__to_copy_add_dynamic_scaled_int8_qu...         0.00%       0.000us         0.00%       0.000us       0.000us     235.814us         0.02%     235.814us       7.369us            32  
                                     triton_red_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us     224.775us         0.02%     224.775us       7.024us            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     185.891us         0.02%     185.891us       5.809us            32  
                                              aten::sub         0.08%       1.009ms         0.11%       1.446ms      45.194us     155.815us         0.01%     155.815us       4.869us            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     155.815us         0.01%     155.815us       4.869us            32  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     146.212us         0.01%     146.212us       4.569us            32  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us     142.049us         0.01%     142.049us       4.439us            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.610us         0.01%     132.610us       4.144us            32  
                     hipThreadExchangeStreamCaptureMode         0.01%     131.018us         0.01%     132.098us       0.674us      94.230us         0.01%      94.230us       0.481us           196  
                                    hipEventSynchronize         6.11%      80.889ms         6.11%      80.895ms       2.528ms      43.677us         0.00%      43.677us       1.365us            32  
                                            aten::empty         0.94%      12.515ms         0.94%      12.517ms       8.323us       0.000us         0.00%       0.000us       0.000us          1504  
